ID;Gebruiksfunctie;RegioS;Perioden;BeginstandVoorraad_1;Nieuwbouw_2;OverigeToevoeging_3;Sloop_4;OverigeOnttrekking_5;Correctie_6;SaldoVoorraad_7;EindstandVoorraad_8
156830;A045364;GM0478;2012JJ00;2542;1;7;1;1;0;6;2548
156847;A045364;GM0478;2013JJ00;2548;16;5;4;1;0;16;2564
156864;A045364;GM0478;2014JJ00;2564;6;8;5;0;0;9;2573
156881;A045364;GM0478;2015JJ00;2573;8;1;6;0;0;3;2576
156898;A045364;GM0478;2016JJ00;;;;;;;;
156915;A045364;GM0478;2017JJ00;;;;;;;;
156932;A045364;GM0478;2018JJ00;;;;;;;;
156949;A045364;GM0478;2019JJ00;;;;;;;;
156966;A045364;GM0478;2020JJ00;;;;;;;;
156991;A045364;GM0050;2012JJ00;7913;15;14;1;2;20;46;7959
157008;A045364;GM0050;2013JJ00;7959;61;2;0;1;-1;61;8020
157025;A045364;GM0050;2014JJ00;8020;44;67;0;4;0;107;8127
157042;A045364;GM0050;2015JJ00;8127;42;8;1;7;-3;39;8166
157059;A045364;GM0050;2016JJ00;8166;135;24;0;21;1;139;8305
157076;A045364;GM0050;2017JJ00;8305;35;2;1;0;-1;35;8340
157093;A045364;GM0050;2018JJ00;8340;210;9;0;7;1;213;8553
157110;A045364;GM0050;2019JJ00;8553;116;12;0;3;0;125;8678
157127;A045364;GM0050;2020JJ00;8678;150;10;1;0;0;159;8837
157152;A045364;GM0355;2012JJ00;26534;217;159;25;52;143;442;26976
157169;A045364;GM0355;2013JJ00;26976;13;111;42;24;-1;57;27033
157186;A045364;GM0355;2014JJ00;27033;404;441;15;40;7;797;27830
157203;A045364;GM0355;2015JJ00;27830;321;94;275;15;2;127;27957
157220;A045364;GM0355;2016JJ00;27957;335;96;87;56;6;294;28251
157237;A045364;GM0355;2017JJ00;28251;287;202;142;43;0;304;28555
157254;A045364;GM0355;2018JJ00;28555;149;117;13;31;0;222;28777
157271;A045364;GM0355;2019JJ00;28777;498;168;119;79;0;468;29245
157288;A045364;GM0355;2020JJ00;29245;331;90;11;15;-2;393;29638
157313;A045364;GM0299;2012JJ00;14062;75;381;4;9;2;445;14507
157330;A045364;GM0299;2013JJ00;14507;25;51;3;39;0;34;14541
157347;A045364;GM0299;2014JJ00;14541;14;70;0;8;-3;73;14614
157364;A045364;GM0299;2015JJ00;14614;61;21;6;14;1;63;14677
157381;A045364;GM0299;2016JJ00;14677;113;13;1;5;-2;118;14795
157398;A045364;GM0299;2017JJ00;14795;66;24;2;3;0;85;14880
157415;A045364;GM0299;2018JJ00;19684;100;43;13;20;2;112;19796
157432;A045364;GM0299;2019JJ00;19796;172;26;3;4;-17;174;19970
157449;A045364;GM0299;2020JJ00;19970;251;17;4;10;3;257;20227
157474;A045364;GM0476;2012JJ00;4807;24;5;2;0;0;27;4834
157491;A045364;GM0476;2013JJ00;;;;;;;;
157508;A045364;GM0476;2014JJ00;;;;;;;;
157525;A045364;GM0476;2015JJ00;;;;;;;;
157542;A045364;GM0476;2016JJ00;;;;;;;;
157559;A045364;GM0476;2017JJ00;;;;;;;;
157576;A045364;GM0476;2018JJ00;;;;;;;;
157593;A045364;GM0476;2019JJ00;;;;;;;;
157610;A045364;GM0476;2020JJ00;;;;;;;;
157635;A045364;GM0637;2012JJ00;53029;825;16;24;4;26;839;53868
157652;A045364;GM0637;2013JJ00;53868;176;535;0;8;238;941;54809
157669;A045364;GM0637;2014JJ00;54809;235;20;0;6;-8;241;55050
157686;A045364;GM0637;2015JJ00;55050;186;145;0;5;1;327;55377
157703;A045364;GM0637;2016JJ00;55377;383;79;0;13;0;449;55826
157720;A045364;GM0637;2017JJ00;55826;211;131;202;16;-6;118;55944
157737;A045364;GM0637;2018JJ00;55944;122;145;4;15;7;255;56199
157754;A045364;GM0637;2019JJ00;56199;307;196;173;44;-27;259;56458
157771;A045364;GM0637;2020JJ00;56458;168;134;362;4;27;-37;56421
157796;A045364;GM0638;2012JJ00;3204;1;47;3;0;1;46;3250
157813;A045364;GM0638;2013JJ00;3250;41;61;18;1;1;84;3334
157830;A045364;GM0638;2014JJ00;3334;12;16;0;4;1;25;3359
157847;A045364;GM0638;2015JJ00;3359;4;19;0;18;1;6;3365
157864;A045364;GM0638;2016JJ00;3365;158;4;0;1;1;162;3527
157881;A045364;GM0638;2017JJ00;3527;46;3;78;6;1;-34;3493
157898;A045364;GM0638;2018JJ00;3493;22;13;16;19;0;0;3493
157915;A045364;GM0638;2019JJ00;3493;53;16;23;6;-1;39;3532
157932;A045364;GM0638;2020JJ00;3532;202;7;1;0;0;208;3740
157957;A045364;GM0056;2012JJ00;7476;9;7;1;17;0;-2;7474
157974;A045364;GM0056;2013JJ00;7474;59;170;4;6;17;236;7710
157991;A045364;GM0056;2014JJ00;7710;13;12;2;1;0;22;7732
158008;A045364;GM0056;2015JJ00;7732;55;6;1;3;0;57;7789
158025;A045364;GM0056;2016JJ00;7789;21;4;13;1;0;11;7800
158042;A045364;GM0056;2017JJ00;7800;81;3;1;0;0;83;7883
158059;A045364;GM0056;2018JJ00;7883;85;18;26;7;0;70;7953
158076;A045364;GM0056;2019JJ00;;;;;;;;
158093;A045364;GM0056;2020JJ00;;;;;;;;
158118;A045364;GM1892;2012JJ00;16175;201;18;18;39;13;175;16350
158135;A045364;GM1892;2013JJ00;16350;93;277;15;6;13;362;16712
158152;A045364;GM1892;2014JJ00;16712;34;6;38;7;0;-5;16707
158169;A045364;GM1892;2015JJ00;16707;104;22;27;19;0;80;16787
158186;A045364;GM1892;2016JJ00;16787;232;27;10;10;8;247;17034
158203;A045364;GM1892;2017JJ00;17034;214;6;10;7;0;203;17237
158220;A045364;GM1892;2018JJ00;17237;333;10;8;4;-5;326;17563
158237;A045364;GM1892;2019JJ00;17563;475;2;9;3;3;468;18031
158254;A045364;GM1892;2020JJ00;18031;472;78;7;10;2;535;18566
158279;A045364;GM0879;2012JJ00;8972;40;5;14;8;54;77;9049
158296;A045364;GM0879;2013JJ00;9049;37;5;8;9;2;27;9076
158313;A045364;GM0879;2014JJ00;9076;96;2;6;5;0;87;9163
158330;A045364;GM0879;2015JJ00;9163;107;11;30;8;-46;34;9197
158347;A045364;GM0879;2016JJ00;9197;107;3;18;7;-2;83;9280
158364;A045364;GM0879;2017JJ00;9280;98;13;12;13;42;128;9408
158381;A045364;GM0879;2018JJ00;9408;57;45;7;25;-23;47;9455
