Regio's,voorraad_median,voorraad_min,voorraad_max,nieuwbouw_median,nieuwbouw_min,nieuwbouw_max,dif_voorraad,dif_nieuwbouw
Weststellingwerf,11495,11210,11711,66,16,109,4.4692239072256825,681.25
Westvoorne,6732,6484,6890,37,4,142,6.261566933991361,3550.0
Wierden,9596,9326,9860,78,58,196,5.725927514475671,337.9310344827586
Wijchen,17518,16920,18023,93,23,303,6.518912529550832,1317.3913043478262
Wijdemeren,10381,10182,10707,88,19,162,5.15615792575133,852.6315789473686
Wijk bij Duurstede,9857,9337,10107,106,23,161,8.246760201349474,700.0
Winsum,6021,5825,6044,8,1,62,3.759656652360505,6200.0
Winterswijk,12891,12321,13139,45,8,85,6.639071503936364,1062.5
Woensdrecht,9647,9226,9866,33,5,111,6.936917407327115,2220.0
Woerden,21403,20524,22106,170,69,294,7.708049113233287,426.0869565217392
Wormerland,6696,6512,6971,44,4,156,7.048525798525802,3900.0
Woudenberg,4893,4662,5188,72,12,137,11.282711282711276,1141.6666666666665
Woudrichem,5888,5639,6081,50,9,128,7.838269196666076,1422.2222222222222
Zaanstad,66961,65099,68947,398,219,865,5.910997096729602,394.9771689497717
Zaltbommel,10985,10096,11623,175,75,237,15.124801901743254,316.0
Zandvoort,9450,9204,9708,28,0,52,5.475880052151254,inf
Zederik,5470,5279,5588,56,14,77,5.853381322220102,550.0
Zeevang,2556,2542,2573,7,1,16,1.2195121951219505,1600.0
Zeewolde,8166,7913,8678,61,15,210,9.667635536459002,1400.0
Zeist,27957,26534,29245,321,13,498,10.217079972865008,3830.7692307692305
Zevenaar,14677,14062,19970,75,14,251,42.01393827336085,1792.8571428571427
Zijpe,4807,4807,4807,24,24,24,0.0,100.0
Zoetermeer,55377,53029,56458,211,122,825,6.466273171283632,676.2295081967213
Zoeterwoude,3365,3204,3532,41,1,202,10.237203495630467,20200.0
Zuidhorn,7732,7474,7883,55,9,85,5.472303987155485,944.4444444444445
Zuidplas,16787,16175,18031,214,34,475,11.474497681607417,1397.0588235294117
Zundert,9197,8972,9472,96,27,126,5.57289344627732,466.6666666666667
Zutphen,21698,20988,22267,163,51,361,6.093958452449016,707.8431372549019
Zwartewaterland,8648,8352,8942,81,40,118,7.064176245210717,295.0
Zwijndrecht,20394,20154,20537,46,1,154,1.9003671727696627,15400.0
Zwolle,55473,53314,58492,546,408,873,9.71227069812808,213.97058823529412
het Bildt,4612,4496,4697,10,0,52,4.470640569395016,inf
