Regio's,voorraad_median,voorraad_min,voorraad_max,nieuwbouw_median,nieuwbouw_min,nieuwbouw_max,dif_voorraad,dif_nieuwbouw
Krimpen aan den IJssel,12333,12109,12636,56,2,340,4.352134775786595,17000.0
Krimpenerwaard,23555,23265,23933,205,87,299,2.8712658499892427,343.67816091954023
Laarbeek,9231,8755,9531,92,9,247,8.8635065676756,2744.4444444444443
Landerd,6004,5698,6403,39,13,167,12.372762372762367,1284.6153846153848
Landgraaf,17969,17833,18142,43,9,121,1.7327426680872549,1344.4444444444446
Landsmeer,4668,4391,4896,41,0,186,11.500797084946484,inf
Langedijk,11295,10696,11650,88,50,165,8.919222139117423,330.0
Lansingerland,22942,21230,24245,344,198,462,14.201601507300992,233.33333333333334
Laren (NH.),5181,4971,5400,11,2,122,8.630054315027152,6100.0
Leek,8412,8057,8614,90,25,238,6.913243142608906,952.0
Leerdam,8686,8480,8875,91,2,192,4.658018867924511,9600.0
Leeuwarden,54245,46778,62599,417,228,546,33.821454529907214,239.47368421052633
Leeuwarderadeel,4333,4256,4353,4,1,14,2.279135338345867,1400.0
Leiden,56636,53613,59832,568,86,1193,11.599798556320295,1387.2093023255816
Leiderdorp,12016,11838,12121,4,0,261,2.390606521371865,inf
Leidschendam-Voorburg,36398,35868,36944,81,3,222,2.999888479982161,7400.0
Lelystad,32755,32216,33385,146,43,414,3.628631735783472,962.7906976744185
Lemsterland,6375,6315,6435,42,26,58,1.9002375296912248,223.0769230769231
Leudal,15718,15231,15992,55,18,170,4.996388943601858,944.4444444444445
Leusden,12425,12133,13043,106,7,250,7.500206049616736,3571.4285714285716
Liesveld,3762,3762,3762,9,9,9,0.0,100.0
Lingewaal,4501,4288,4594,52,16,103,7.136194029850756,643.75
Lingewaard,19423,18539,19872,140,75,208,7.190247586169704,277.33333333333337
Lisse,10049,9637,10330,70,6,153,7.191034554321888,2550.0
Littenseradiel,4527,4496,4551,15,8,36,1.22330960854093,450.0
Lochem,14624,14119,15096,106,56,149,6.919753523620642,266.07142857142856
Loon op Zand,10110,9864,10409,91,17,170,5.525141930251422,1000.0
Lopik,5488,5315,5741,54,20,107,8.015051740357478,535.0
Loppersum,4648,4478,4698,25,2,141,4.912907548012498,7050.0
Losser,9559,9291,9789,65,30,137,5.360025831449789,456.66666666666663
Maasdonk,4559,4553,4589,43,23,53,0.7906874588183683,230.43478260869566
Maasdriel,9695,9484,10115,83,28,159,6.653310839308318,567.8571428571429
Maasgouw,10601,10280,10856,33,6,125,5.603112840466935,2083.333333333333
Maassluis,14938,14459,15186,124,41,232,5.028010235839275,565.8536585365854
Maastricht,61021,59234,61955,94,0,443,4.593645541412016,inf
Marum,4254,4113,4396,26,7,59,6.880622416727448,842.8571428571429
